normalized_form	collision_description
bcl2l1human	PR_Q07817[hasExactSynonym=Bcl2-L-1 (human)] | gene_symbol_report?hgnc_id=992[label=BCL2L1 (human)]
bcl2l2human	PR_000036332[hasExactSynonym=Bcl2-L-2 (human)] | gene_symbol_report?hgnc_id=995[label=BCL2L2 (human)]
bcl2likeprotein2human	PR_000036332[label=Bcl-2-like protein 2 (human)] | PR_Q92843[label=bcl-2-like protein 2 (human)]
bcl6human	PR_P41182[hasExactSynonym=BCL-6 (human)] | gene_symbol_report?hgnc_id=1001[label=BCL6 (human)]
bdcs	MONDO_0010535[hasExactSynonym=BDCS] | Orphanet_113[hasExactSynonym=BDCS]
bdnf	PR_000004716[hasExactSynonym=BDNF] | EFO_0011018[hasExactSynonym=BDNF]
bearestevensoncutisgyratasyndrome	MONDO_0007412[hasExactSynonym=Beare-Stevenson cutis gyrata syndrome] | MONDO_0007412[label=Beare-Stevenson cutis gyrata syndrome] | Orphanet_1555[hasExactSynonym=Beare-Stevenson cutis gyrata syndrome]
becrs	MONDO_0007295[hasExactSynonym=BECRS] | Orphanet_1945[hasExactSynonym=BECRS]
bects	MONDO_0007295[hasExactSynonym=BECTS] | Orphanet_1945[hasExactSynonym=BECTS]
bedouinspasticataxiasyndrome	MONDO_0010064[hasExactSynonym=Bedouin spastic ataxia syndrome] | Orphanet_2572[hasExactSynonym=Bedouin spastic ataxia syndrome]
bellspalsy	HP_0010628[hasExactSynonym=Bell's palsy] | EFO_0007167[hasExactSynonym=Bell's palsy] | EFO_0007167[label=Bell's palsy]
benalleguelacetesyndrome	MONDO_0015086[hasExactSynonym=Benallegue-Lacete syndrome] | Orphanet_100978[hasExactSynonym=Benallegue-Lacete syndrome]
bengali	HANCESTRO_0785[hasExactSynonym=Bengali] | HANCESTRO_0802[hasExactSynonym=Bengali]
benignadenomaofprostate	MONDO_0002450[hasExactSynonym=benign adenoma of prostate] | EFO_0000284[hasExactSynonym=Benign adenoma of prostate]
benigncecumtumor	MONDO_0021464[hasExactSynonym=benign cecum tumor] | EFO_0007197[hasExactSynonym=benign cecum tumor]
benignchronicfamilialpemphigusofhaileyhailey	MONDO_0008218[hasExactSynonym=benign chronic familial pemphigus of Hailey-Hailey] | Orphanet_2841[hasExactSynonym=Benign chronic familial pemphigus of Hailey-Hailey]
benignepilepsyofchildhoodwithcentrotemporalspikes	MONDO_0007295[hasExactSynonym=benign epilepsy of childhood with centrotemporal spikes] | Orphanet_1945[hasExactSynonym=Benign epilepsy of childhood with centrotemporal spikes]
benignfamilialchorea	EFO_0004152[hasExactSynonym=benign familial chorea] | Orphanet_1429[label=Benign familial chorea]
benignfamilialepilepsyofchildhoodwithrolandicspikes	MONDO_0007295[hasExactSynonym=benign familial epilepsy of childhood with rolandic spikes] | Orphanet_1945[hasExactSynonym=Benign familial epilepsy of childhood with rolandic spikes]
benignfamilialneonatalconvulsions	MONDO_0016027[hasExactSynonym=benign familial neonatal convulsions] | Orphanet_1949[hasExactSynonym=Benign familial neonatal convulsions]
benignfamilialneonatalepilepsy	MONDO_0016027[hasExactSynonym=benign familial neonatal epilepsy] | Orphanet_1949[hasExactSynonym=Benign familial neonatal epilepsy]
benignfamilialneonatalinfantileseizures	MONDO_0011904[hasExactSynonym=benign familial neonatal-infantile seizures] | Orphanet_140927[label=Benign familial neonatal-infantile seizures]
benignfamilialneonatalseizures	MONDO_0016027[hasExactSynonym=benign familial neonatal seizures] | Orphanet_1949[label=Benign familial neonatal seizures]
benignkidneyneoplasm	MONDO_0002513[hasExactSynonym=benign kidney neoplasm] | EFO_1000111[label=Benign Kidney Neoplasm]
benignmeningealneoplasm	MONDO_0021527[hasExactSynonym=benign meningeal neoplasm] | EFO_0003851[hasExactSynonym=Benign Meningeal Neoplasm]
benignmeningealneoplasms	MONDO_0021527[hasExactSynonym=benign meningeal neoplasms] | EFO_0003851[hasExactSynonym=Benign Meningeal Neoplasms]
benignmonoclonalgammopathy	EFO_0000203[hasExactSynonym=Benign Monoclonal Gammopathy] | EFO_1000836[hasExactSynonym=benign Monoclonal Gammopathy] | EFO_1000836[label=benign monoclonal gammopathy]
benignmyoclonicepilepsyofinfancy	MONDO_0100566[hasExactSynonym=benign myoclonic epilepsy of infancy] | EFO_0700105[hasExactSynonym=benign myoclonic epilepsy of infancy]
benignmyoclonusepilepsyofinfancy	MONDO_0100566[hasExactSynonym=benign myoclonus epilepsy of infancy] | EFO_0700105[hasExactSynonym=benign myoclonus epilepsy of infancy]
benignneonatalinfantileepilepsy	MONDO_0011904[hasExactSynonym=benign neonatal-infantile epilepsy] | Orphanet_140927[hasExactSynonym=Benign neonatal-infantile epilepsy]
benignneoplasmofsebaceousgland	MONDO_0021490[label=benign neoplasm of sebaceous gland] | EFO_1001172[hasExactSynonym=benign neoplasm of sebaceous gland]
benignneoplasmofthececum	MONDO_0021464[hasExactSynonym=benign neoplasm of the cecum] | EFO_0007197[hasExactSynonym=benign neoplasm of the cecum]
benignrenalpelvisneoplasm	MONDO_0021467[hasExactSynonym=benign renal pelvis neoplasm] | EFO_1000118[label=Benign Renal Pelvis Neoplasm]
benignrolandicepilepsy	MONDO_0007295[hasExactSynonym=benign Rolandic epilepsy] | Orphanet_1945[hasExactSynonym=Benign rolandic epilepsy]
benigntumorofcecum	MONDO_0021464[hasExactSynonym=benign tumor of cecum] | EFO_0007197[hasExactSynonym=benign tumor of cecum]
beradinelliseipsyndrome	MONDO_0018883[hasExactSynonym=Beradinelli-Seip syndrome] | EFO_1000681[hasExactSynonym=Beradinelli-Seip syndrome]
berantsyndrome	MONDO_0015751[hasExactSynonym=Berant syndrome] | Orphanet_171839[hasExactSynonym=Berant syndrome]
berardinelliseipcongenitallipodystrophy	MONDO_0018883[label=Berardinelli-Seip congenital lipodystrophy] | EFO_1000681[hasExactSynonym=Berardinelli-Seip congenital lipodystrophy]
berardinelliseipsyndrome	MONDO_0010020[hasExactSynonym=Berardinelli-Seip syndrome] | MONDO_0018883[hasExactSynonym=Berardinelli Seip syndrome]
besselhagendisease	MONDO_0005508[hasExactSynonym=Bessel-Hagen disease] | Orphanet_321[hasExactSynonym=Bessel-Hagen disease]
bestdisease	MONDO_0007931[hasExactSynonym=Best disease] | Orphanet_1243[hasExactSynonym=Best disease]
bestmaculardystrophy	MONDO_0007931[hasExactSynonym=Best macular dystrophy] | Orphanet_1243[hasExactSynonym=Best macular dystrophy]
bestvitelliformmaculardystrophy	MONDO_0007931[hasExactSynonym=Best Vitelliform Macular Dystrophy] | Orphanet_1243[label=Best vitelliform macular dystrophy]
beta2microglobulinmeasurement	EFO_0005197[label=beta-2 microglobulin measurement] | EFO_0020180[label=beta-2-microglobulin measurement]
betahydroxybutyricacidmeasurement	EFO_0010113[hasExactSynonym=beta-hydroxybutyric acid measurement] | EFO_0010465[label=beta-hydroxybutyric acid measurement]
betasiteamyloidprecursorproteincleavingenzyme1	PR_000004615[hasExactSynonym=beta-site amyloid precursor protein cleaving enzyme 1] | EFO_0009179[hasExactSynonym=beta-site amyloid precursor protein cleaving enzyme 1]
betasiteappcleavingenzyme1	PR_000004615[hasExactSynonym=beta-site APP cleaving enzyme 1] | EFO_0009179[hasExactSynonym=beta-site APP cleaving enzyme 1]
betathalassemia	MONDO_0019402[label=beta thalassemia] | Orphanet_848[label=Beta-thalassemia]
bfgf	PR_000007489[hasExactSynonym=BFGF] | EFO_0003316[hasExactSynonym=bFGF]
bfnis	MONDO_0011904[hasExactSynonym=BFNIS] | Orphanet_140927[hasExactSynonym=BFNIS]
biaka	HANCESTRO_0635[hasExactSynonym=Biaka] | HANCESTRO_0643[hasExactSynonym=Biaka]
bicd1human	PR_Q96G01[hasExactSynonym=Bic-D 1 (human)] | gene_symbol_report?hgnc_id=1049[label=BICD1 (human)]
bickersadamssyndrome	MONDO_0010611[hasExactSynonym=Bickers-Adams syndrome] | Orphanet_2182[hasExactSynonym=Bickers-Adams syndrome]
biemondsyndrome	MONDO_0007226[hasExactSynonym=Biemond syndrome] | Orphanet_1246[hasExactSynonym=Biemond syndrome]
bietticrystallinecorneoretinaldystrophy	MONDO_0008865[hasExactSynonym=Bietti crystalline corneoretinal dystrophy] | MONDO_0008865[label=Bietti crystalline corneoretinal dystrophy] | Orphanet_41751[hasExactSynonym=Bietti crystalline corneoretinal dystrophy]
bietticrystallineretinopathy	MONDO_0008865[hasExactSynonym=Bietti crystalline retinopathy] | Orphanet_41751[hasExactSynonym=Bietti crystalline retinopathy]
bilateralbandlikecalcificationwithpolymicrogyria	MONDO_0009626[hasExactSynonym=bilateral band-like calcification with polymicrogyria] | Orphanet_1229[hasExactSynonym=Bilateral band-like calcification with polymicrogyria]
bilateralrenaldysplasia	MONDO_0019645[hasExactSynonym=bilateral renal dysplasia] | Orphanet_93173[label=Bilateral renal dysplasia]
bileductcancer	MONDO_0003059[hasExactSynonym=bile duct cancer] | MONDO_0003059[label=bile duct cancer] | EFO_0005221[hasExactSynonym=bile duct cancer]
bileductsquamouscellcarcinoma	MONDO_0003500[hasExactSynonym=bile duct squamous cell carcinoma] | EFO_1000248[hasExactSynonym=bile duct squamous cell carcinoma]
biliaryatresia	HP_0005912[label=Biliary atresia] | MONDO_0008867[label=biliary atresia]
biliarylivercirrhosis	EFO_0004267[label=biliary liver cirrhosis] | EFO_1001486[hasExactSynonym=biliary liver cirrhosis]
bilirubinencephalopathy	MONDO_0018477[hasExactSynonym=bilirubin encephalopathy] | MONDO_0018477[label=bilirubin encephalopathy] | EFO_1001002[hasExactSynonym=bilirubin encephalopathy]
bindersyndrome	MONDO_0007953[hasExactSynonym=Binder syndrome] | MONDO_0007953[hasExactSynonym=binder syndrome] | MONDO_0007953[label=Binder syndrome] | Orphanet_1248[hasExactSynonym=Binder syndrome]
bindewaldulmermullersyndrome	MONDO_0010999[hasExactSynonym=Bindewald-Ulmer-Müller syndrome] | Orphanet_3304[hasExactSynonym=Bindewald-Ulmer-Müller syndrome]
biologicalsex	PATO_0000047[label=biological sex] | PATO_0001894[hasExactSynonym=biological sex]
biosourceprovider	OBI_0000018[hasExactSynonym=biosource provider] | EFO_0004443[hasExactSynonym=biosource provider]
birthoggdubesyndrome	EFO_0700020[hasExactSynonym=Birt-Hogg-Dube syndrome] | EFO_0700020[label=Birt-Hogg-Dube syndrome] | Orphanet_122[hasExactSynonym=Birt-Hogg-Dube syndrome] | Orphanet_122[label=Birt-Hogg-Dubé syndrome]
bixlerchristiangorlinsyndrome	MONDO_0009404[hasExactSynonym=Bixler Christian Gorlin syndrome] | MONDO_0009404[hasExactSynonym=Bixler-Christian-Gorlin syndrome] | Orphanet_2213[hasExactSynonym=Bixler-Christian-Gorlin syndrome]
bjornstadsyndrome	MONDO_0009872[hasExactSynonym=Bjornstad syndrome] | MONDO_0009872[hasExactSynonym=Björnstad Syndrome] | MONDO_0009872[label=Bjornstad syndrome] | Orphanet_123[label=Björnstad syndrome]
bkmolesyndrome	MONDO_0007964[hasExactSynonym=B-K Mole syndrome] | MONDO_0018453[hasExactSynonym=B-K mole syndrome]
bl1	EFO_0005173[label=Bl-1] | EFO_0022727[hasExactSynonym=BL-1]
black	HANCESTRO_0567[hasExactSynonym=Black] | HANCESTRO_0568[hasExactSynonym=Black]
blackfandiamondanemia	MONDO_0015253[hasExactSynonym=Blackfan-Diamond anemia] | Orphanet_124[label=Blackfan-Diamond anemia]
bladderdiverticulum	HP_0000015[label=Bladder diverticulum] | MONDO_0007197[hasExactSynonym=bladder diverticulum] | MONDO_0007197[label=bladder diverticulum]
blc	MONDO_0008970[hasExactSynonym=BLC] | Orphanet_50945[hasExactSynonym=BLC]
blcpmg	MONDO_0009626[hasExactSynonym=BLC-PMG] | Orphanet_1229[hasExactSynonym=BLC-PMG]
bleedingdiathesis	HP_0001892[hasExactSynonym=Bleeding diathesis] | MONDO_0002243[hasExactSynonym=bleeding diathesis]
bleedingtendency	HP_0001892[hasExactSynonym=Bleeding tendency] | MONDO_0002243[hasExactSynonym=bleeding tendency]
blepharocheilodonticsyndrome	MONDO_0007339[hasExactSynonym=blepharocheilodontic syndrome] | MONDO_0007339[label=blepharocheilodontic syndrome] | Orphanet_1997[hasExactSynonym=Blepharocheilodontic syndrome]
blepharocheiloodonticsyndrome	MONDO_0007339[hasExactSynonym=blepharo-cheilo-odontic syndrome] | Orphanet_1997[label=Blepharo-cheilo-odontic syndrome]
blepharophimosisintellectualdisabilitysyndrome	MONDO_0017393[label=blepharophimosis - intellectual disability syndrome] | Orphanet_293642[label=Blepharophimosis-intellectual disability syndrome]
blepharophimosisintellectualdisabilitysyndromemaatkievitbrunnertype	MONDO_0010477[hasExactSynonym=blepharophimosis-intellectual disability syndrome, Maat-Kievit-Brunner type] | Orphanet_293707[hasExactSynonym=Blepharophimosis-intellectual disability syndrome, Maat-Kievit-Brunner type]
blepharophimosisintellectualdisabilitysyndromemkbtype	MONDO_0010477[label=blepharophimosis - intellectual disability syndrome, MKB type] | Orphanet_293707[label=Blepharophimosis-intellectual disability syndrome, MKB type]
blepharophimosisintellectualdisabilitysyndromeohdotype	MONDO_0009583[label=blepharophimosis - intellectual disability syndrome, Ohdo type] | Orphanet_2728[label=Blepharophimosis-intellectual disability syndrome, Ohdo type]
blepharophimosisintellectualdisabilitysyndromesbbystype	MONDO_0011365[hasExactSynonym=blepharophimosis - intellectual disability syndrome, SBBYS type] | MONDO_0011365[label=blepharophimosis - intellectual disability syndrome, SBBYS type] | Orphanet_3047[label=Blepharophimosis-intellectual disability syndrome, SBBYS type]
blepharophimosisintellectualdisabilitysyndrometypev	MONDO_0011432[hasExactSynonym=blepharophimosis-intellectual disability syndrome type V] | Orphanet_293725[hasExactSynonym=Blepharophimosis-intellectual disability syndrome type V]
blepharophimosisintellectualdisabilitysyndromeverloestype	MONDO_0011432[label=blepharophimosis - intellectual disability syndrome, Verloes type] | Orphanet_293725[label=Blepharophimosis-intellectual disability syndrome, Verloes type]
blepharophimosissyndromeohdotype	MONDO_0009583[hasExactSynonym=blepharophimosis syndrome, Ohdo type] | Orphanet_2728[hasExactSynonym=Blepharophimosis syndrome, Ohdo type]
blepharophimosistypes1and2duetoapointmutation	MONDO_0016858[hasExactSynonym=blepharophimosis types 1 and 2 due to a point mutation] | Orphanet_261572[hasExactSynonym=Blepharophimosis types 1 and 2 due to a point mutation]
blindnessscoliosisarachnodactylysyndrome	MONDO_0012907[label=blindness - scoliosis - arachnodactyly syndrome] | Orphanet_171844[label=Blindness-scoliosis-arachnodactyly syndrome]
blomstrandchondrodysplasia	MONDO_0008970[hasExactSynonym=Blomstrand chondrodysplasia] | Orphanet_50945[hasExactSynonym=Blomstrand chondrodysplasia]
blomstrandlethalchondrodysplasia	MONDO_0008970[hasExactSynonym=Blomstrand lethal chondrodysplasia] | Orphanet_50945[label=Blomstrand lethal chondrodysplasia]
blomstrandosteochondrodysplasia	MONDO_0008970[hasExactSynonym=Blomstrand osteochondrodysplasia] | Orphanet_50945[hasExactSynonym=Blomstrand osteochondrodysplasia]
bloodcellcount	OBA_VT0000237[hasExactSynonym=blood cell count] | EFO_0004586[hasExactSynonym=blood cell count]
bloodclot	MONDO_0000831[hasExactSynonym=blood clot] | UBERON_0010210[label=blood clot]
blooddisease	EFO_0005803[hasExactSynonym=blood disease] | EFO_0010283[label=blood disease]
bloodphosphatelevel	OBA_VT0001565[hasExactSynonym=blood phosphate level] | EFO_0010972[hasExactSynonym=blood phosphate level]
bluecolorblindness	MONDO_0008610[hasExactSynonym=blue color blindness] | MONDO_0008610[label=blue color blindness] | Orphanet_88629[hasExactSynonym=blue color blindness]
blueconemonochromacy	MONDO_0010563[hasExactSynonym=blue cone monochromacy] | MONDO_0010563[label=blue cone monochromacy] | Orphanet_16[hasExactSynonym=Blue cone monochromacy]
blueconemonochromatism	MONDO_0010563[hasExactSynonym=blue cone monochromatism] | Orphanet_16[label=Blue cone monochromatism]
bm2bcell	CL_0000962[hasExactSynonym=Bm2 B-cell] | CL_0000962[label=Bm2 B cell] | CL_0000964[hasExactSynonym=Bm2' B-cell] | CL_0000964[label=Bm2' B cell]
bm2blymphocyte	CL_0000962[hasExactSynonym=Bm2 B lymphocyte] | CL_0000962[hasExactSynonym=Bm2 B-lymphocyte] | CL_0000964[hasExactSynonym=Bm2' B lymphocyte]
bmd	MONDO_0007931[hasExactSynonym=BMD] | MONDO_0010311[hasExactSynonym=BMD] | Orphanet_1243[hasExactSynonym=BMD]
bmh	PR_000004760[hasExactSynonym=BMH] | EFO_1000836[hasExactSynonym=BMH]
bmp10human	PR_O95393[hasExactSynonym=BMP-10 (human)] | gene_symbol_report?hgnc_id=20869[label=BMP10 (human)]
bmp15human	PR_O95972[hasExactSynonym=BMP-15 (human)] | gene_symbol_report?hgnc_id=1068[label=BMP15 (human)]
bmp1human	PR_P13497[hasExactSynonym=BMP-1 (human)] | gene_symbol_report?hgnc_id=1067[label=BMP1 (human)]
bmp2human	PR_P12643[hasExactSynonym=BMP-2 (human)] | gene_symbol_report?hgnc_id=1069[label=BMP2 (human)]
bmp3human	PR_P12645[hasExactSynonym=BMP-3 (human)] | gene_symbol_report?hgnc_id=1070[label=BMP3 (human)]
bmp4human	PR_P12644[hasExactSynonym=BMP-4 (human)] | gene_symbol_report?hgnc_id=1071[label=BMP4 (human)]
bmp5human	PR_P22003[hasExactSynonym=BMP-5 (human)] | gene_symbol_report?hgnc_id=1072[label=BMP5 (human)]
bmp6human	PR_P22004[hasExactSynonym=BMP-6 (human)] | gene_symbol_report?hgnc_id=1073[label=BMP6 (human)]
bmp7human	PR_P18075[hasExactSynonym=BMP-7 (human)] | gene_symbol_report?hgnc_id=1074[label=BMP7 (human)]
bmp8bhuman	PR_P34820[hasExactSynonym=BMP-8B (human)] | gene_symbol_report?hgnc_id=1075[label=BMP8B (human)]
bmpr1ahuman	PR_P36894[hasExactSynonym=BMPR-1A (human)] | gene_symbol_report?hgnc_id=1076[label=BMPR1A (human)]
bmpr1bhuman	PR_O00238[hasExactSynonym=BMPR-1B (human)] | gene_symbol_report?hgnc_id=1077[label=BMPR1B (human)]
bmpr2human	PR_Q13873[hasExactSynonym=BMPR-2 (human)] | gene_symbol_report?hgnc_id=1078[label=BMPR2 (human)]
bmrs	MONDO_0017393[hasExactSynonym=BMRS] | Orphanet_293642[hasExactSynonym=BMRS]
bmrsmaatkievitbrunnertype	MONDO_0010477[hasExactSynonym=BMRS, Maat-Kievit-Brunner type] | Orphanet_293707[hasExactSynonym=BMRS, Maat-Kievit-Brunner type]
bmrsmkbtype	MONDO_0010477[hasExactSynonym=BMRS, MKB type] | Orphanet_293707[hasExactSynonym=BMRS, MKB type]
bmrsohdotype	MONDO_0009583[hasExactSynonym=BMRS, Ohdo type] | Orphanet_2728[hasExactSynonym=BMRS, Ohdo type]
bmrstypev	MONDO_0011432[hasExactSynonym=BMRS type V] | Orphanet_293725[hasExactSynonym=BMRS type V]
bmrsverloestype	MONDO_0011432[hasExactSynonym=BMRS, Verloes type] | Orphanet_293725[hasExactSynonym=BMRS, Verloes type]
bocd	MONDO_0008970[hasExactSynonym=BOCD] | Orphanet_50945[hasExactSynonym=BOCD]
bodersyndrome	MONDO_0008118[hasExactSynonym=boder syndrome] | Orphanet_2724[hasExactSynonym=Boder syndrome]
bodsyndrome	MONDO_0007230[hasExactSynonym=bod syndrome] | Orphanet_1292[hasExactSynonym=BOD syndrome]
bofs	MONDO_0007235[hasExactSynonym=BOFS] | Orphanet_1297[hasExactSynonym=BOFS]
bola3deficiency	MONDO_0013675[hasExactSynonym=BOLA3 deficiency] | Orphanet_401874[hasExactSynonym=BOLA3 deficiency]
bon1	PR_000028484[hasExactSynonym=BON1] | EFO_0022643[label=BON-1 ]
bonedysplasiamedullaryfibrosarcomasyndrome	MONDO_0007205[hasExactSynonym=bone dysplasia-medullary fibrosarcoma syndrome] | Orphanet_85182[hasExactSynonym=bone dysplasia-medullary fibrosarcoma syndrome]
bonefragilitycontracturesarterialrupturedeafnesssyndrome	MONDO_0012892[hasExactSynonym=bone fragility-contractures-arterial rupture-deafness syndrome] | Orphanet_300284[hasExactSynonym=Bone fragility-contractures-arterial rupture-deafness syndrome]
bonehypertrophy	HP_0100774[hasExactSynonym=Bone Hypertrophy] | MONDO_0002185[hasExactSynonym=bone hypertrophy]
bonneausyndrome	MONDO_0009900[hasExactSynonym=Bonneau syndrome] | Orphanet_2934[hasExactSynonym=Bonneau syndrome]
bor	MONDO_0018878[hasExactSynonym=BOR] | MONDO_0018878[hasExactSynonym=bor] | Orphanet_107[hasExactSynonym=BOR]
boucherneuhausersyndrome	MONDO_0008980[hasExactSynonym=Boucher-Neuhauser syndrome] | MONDO_0008980[hasExactSynonym=Boucher-Neuhäuser syndrome] | Orphanet_1180[hasExactSynonym=Boucher-Neuhäuser syndrome]
bougainville	HANCESTRO_0774[hasExactSynonym=Bougainville] | HANCESTRO_0778[hasExactSynonym=Bougainville]
boyesarabidopsisgrowthstage0	PO_0007022[hasExactSynonym=Boyes Arabidopsis Growth Stage 0] | PO_0007057[hasExactSynonym=Boyes Arabidopsis Growth Stage 0]
boyesarabidopsisgrowthstage112	PO_0007064[hasExactSynonym=Boyes Arabidopsis Growth Stage 1.12] | PO_0007085[hasExactSynonym=Boyes Arabidopsis Growth Stage 1.12]
boyesarabidopsisgrowthstage37	PO_0007076[hasExactSynonym=Boyes Arabidopsis Growth Stage 3.7] | PO_0007081[hasExactSynonym=Boyes Arabidopsis Growth Stage 3.7]
boylandewsyndrome	EFO_0700061[hasExactSynonym=Boylan-dew syndrome] | Orphanet_2680[hasExactSynonym=Boylan-Dew syndrome]
bpd	HP_0012076[hasExactSynonym=BPD] | MONDO_0019091[hasExactSynonym=BPD]
brachycephalofrontonasaldysplasia	MONDO_0800025[hasExactSynonym=Brachycephalofrontonasal dysplasia] | Orphanet_1519[hasExactSynonym=Brachycephalofrontonasal dysplasia]
brachydactyly	HP_0001156[label=Brachydactyly] | MONDO_0021004[hasExactSynonym=brachydactyly] | MONDO_0021004[label=brachydactyly]
brachydactylylongthumbtype	MONDO_0007212[hasExactSynonym=brachydactyly, long thumb type] | Orphanet_2946[hasExactSynonym=Brachydactyly, long thumb type]
brachydactylytypea6	MONDO_0007219[hasExactSynonym=brachydactyly type A6] | MONDO_0007219[hasExactSynonym=brachydactyly, type A6] | Orphanet_93382[label=Brachydactyly type A6]
brachytelephalangydysmorphismkallmannsyndrome	MONDO_0007231[label=brachytelephalangy-dysmorphism-Kallmann syndrome] | Orphanet_1295[label=Brachytelephalangy - dysmorphism - Kallmann syndrome]
braddockcareysyndrome	MONDO_0031646[label=Braddock-Carey syndrome] | Orphanet_3323[hasExactSynonym=Braddock-Carey syndrome]
braddockjonessuperneausyndrome	MONDO_0007401[hasExactSynonym=Braddock-Jones-Superneau syndrome] | Orphanet_1538[hasExactSynonym=Braddock-Jones-Superneau syndrome]
brahui	HANCESTRO_0704[hasExactSynonym=Brahui] | HANCESTRO_0787[hasExactSynonym=Brahui]
braindegeneration	HP_0012444[hasExactSynonym=Brain degeneration] | MONDO_0022687[hasExactSynonym=Brain degeneration] | EFO_0005772[hasExactSynonym=brain degeneration]
braindemyelinationduetomethionineadenosyltransferasedeficiency	MONDO_0009607[hasExactSynonym=brain demyelination due to methionine adenosyltransferase deficiency] | Orphanet_168598[label=Brain demyelination due to methionine adenosyltransferase deficiency]
braininflammation	HP_0002383[hasExactSynonym=Brain inflammation] | EFO_0700029[hasExactSynonym=brain inflammation]
brainischemia	HP_0002637[hasExactSynonym=Brain ischemia] | MONDO_0005299[hasExactSynonym=brain ischemia] | MONDO_0005299[label=brain ischemia]
brainmeningioma	MONDO_0004046[hasExactSynonym=Brain meningioma] | MONDO_0850302[hasExactSynonym=brain meningioma]
brainstemglioblastoma	MONDO_1060180[label=brain stem glioblastoma] | EFO_1000141[label=Brain Stem Glioblastoma]
brainstemneoplasm	MONDO_0002914[hasExactSynonym=brain stem neoplasm] | EFO_1001767[hasExactSynonym=Brain stem neoplasm] | EFO_1001767[hasExactSynonym=brainstem neoplasm] | EFO_1001767[label=brain stem neoplasm]
branchiooculofacialsyndrome	MONDO_0007235[hasExactSynonym=Branchio Oculo Facial Syndrome] | MONDO_0007235[hasExactSynonym=branchio-oculo-facial syndrome] | MONDO_0007235[hasExactSynonym=branchiooculofacial syndrome] | MONDO_0007235[label=branchiooculofacial syndrome] | Orphanet_1297[label=Branchio-oculo-facial syndrome]
branchiooticsyndrome	MONDO_0018878[label=branchiootic syndrome] | Orphanet_52429[label=Branchio-otic syndrome]
branchiootorenaldysplasia	MONDO_0007029[hasExactSynonym=Branchio-otorenal dysplasia] | MONDO_0007029[hasExactSynonym=branchiootorenal dysplasia] | Orphanet_107[hasExactSynonym=Branchio-otorenal dysplasia] | Orphanet_107[hasExactSynonym=branchiootorenal dysplasia]
branchiootorenalsyndrome	MONDO_0007029[hasExactSynonym=Branchio-Oto-renal syndrome] | MONDO_0007029[hasExactSynonym=branchio-oto-renal syndrome] | MONDO_0007029[hasExactSynonym=branchiootorenal syndrome] | MONDO_0007029[label=branchio-oto-renal syndrome] | Orphanet_107[hasExactSynonym=Branchiootorenal syndrome] | Orphanet_107[hasExactSynonym=branchio-oto-renal syndrome]
braunbayersyndrome	MONDO_0009731[hasExactSynonym=Braun-Bayer syndrome] | Orphanet_2669[hasExactSynonym=Braun-Bayer syndrome]
brca1andbrca2associatedhereditarybreastandovariancancer	MONDO_0003582[hasExactSynonym=BRCA1- and BRCA2-associated hereditary breast and ovarian cancer] | Orphanet_145[hasExactSynonym=BRCA1- and BRCA2-associated hereditary breast and ovarian cancer]
brca1andbrca2associatedhereditarybreastandovariancancerhboc	MONDO_0003582[hasExactSynonym=BRCA1- and BRCA2-associated hereditary breast and ovarian cancer (HBOC)] | Orphanet_145[hasExactSynonym=BRCA1- and BRCA2-associated hereditary breast and ovarian cancer (HBOC)]
bre	MONDO_0007295[hasExactSynonym=BRE] | Orphanet_1945[hasExactSynonym=BRE]
breastmyoepithelialcarcinoma	MONDO_0003990[hasExactSynonym=breast myoepithelial carcinoma] | EFO_0002609[hasExactSynonym=breast myoepithelial carcinoma]
breastovariancancerfamilialsusceptibilityto	MONDO_0100526[label=breast-ovarian cancer, familial, susceptibility to] | Orphanet_145[hasExactSynonym=breast-ovarian cancer, familial, susceptibility to]
brf1human	PR_Q92994[hasExactSynonym=BRF-1 (human)] | gene_symbol_report?hgnc_id=11551[label=BRF1 (human)]
british	HANCESTRO_0462[label=British] | HANCESTRO_0765[hasExactSynonym=British]
bronchiectasis	HP_0002110[label=Bronchiectasis] | MONDO_0004822[label=bronchiectasis]
bronchioalveolaradenocarcinomaoflung	EFO_0000308[hasExactSynonym=bronchioalveolar adenocarcinoma of lung] | EFO_1001941[hasExactSynonym=Bronchioalveolar Adenocarcinoma of Lung]
bronchioalveolarlungcarcinoma	EFO_0000308[hasExactSynonym=bronchioalveolar lung carcinoma] | EFO_1001941[hasExactSynonym=Bronchioalveolar Lung Carcinoma]
bronchiolitis	HP_0011950[label=Bronchiolitis] | MONDO_0002465[hasExactSynonym=bronchiolitis] | MONDO_0002465[label=bronchiolitis]
bronchioloalveolaradenocarcinomaoflung	EFO_0000308[hasExactSynonym=bronchioloalveolar adenocarcinoma of lung] | EFO_1001941[hasExactSynonym=Bronchioloalveolar Adenocarcinoma of Lung]
bronchioloalveolarcarcinoma	EFO_0000308[hasExactSynonym=bronchioloalveolar carcinoma] | EFO_1001941[label=bronchioloalveolar carcinoma]
bronchioloalveolarcarcinomaoflung	EFO_0000308[hasExactSynonym=bronchiolo-alveolar carcinoma of lung] | EFO_1001941[hasExactSynonym=Bronchiolo-Alveolar Carcinoma of Lung]
