Normalised_Label	Term1_ID	Term1_Label	Term1_Branch	Term2_ID	Term2_Label	Term2_Branch
interleukin27receptorsubunitalphameasurement	EFO:0008183	interleukin 27 receptor subunit alpha measurement	Other	EFO:0801727	interleukin-27 receptor subunit alpha measurement	Other
interleukin2measurement	EFO:0008331	interleukin 2 measurement	Other	EFO:0801723	interleukin-2 measurement	Other
interleukin4measurement	EFO:0008184	interleukin 4 measurement	Other	EFO:0802661	interleukin-4 measurement	Other
interleukin5measurement	EFO:0008185	interleukin 5 measurement	Other	EFO:0801729	interleukin-5 measurement	Other
interleukin5receptorsubunitalphameasurement	EFO:0008186	interleukin 5 receptor subunit alpha measurement	Other	EFO:0801730	interleukin-5 receptor subunit alpha measurement	Other
interleukin6receptorsubunitalphameasurement	EFO:0008187	interleukin 6 receptor subunit alpha measurement	Other	EFO:0801731	interleukin-6 receptor subunit alpha measurement	Other
interleukin7measurement	EFO:0008189	interleukin 7 measurement	Other	EFO:0802662	interleukin-7 measurement	Other
interleukin7receptorsubunitalphameasurement	EFO:0008190	interleukin 7 receptor subunit alpha measurement	Other	EFO:0020508	interleukin-7 receptor subunit alpha measurement	Other
interleukin8measurement	EFO:0004811	interleukin-8 measurement	Other	EFO:0008191	interleukin 8 measurement	Other
interleukin9measurement	EFO:0008192	interleukin 9 measurement	Other	EFO:0802663	interleukin-9 measurement	Other
iridocyclitis	HP:0001094	Iridocyclitis	Phenotype	MONDO:0004773	iridocyclitis	Disease
keratitis	EFO:0009449	keratitis	Disease	HP:0000491	Keratitis	Phenotype
lacticacidosis	EFO:1000036	lactic acidosis	Disease	HP:0003128	Lactic acidosis	Phenotype
lactoseintolerance	EFO:1000062	lactose intolerance	Disease	HP:0004789	Lactose intolerance	Phenotype
leftventricularnoncompaction	HP:0030682	Left ventricular noncompaction	Phenotype	MONDO:0018901	left ventricular noncompaction	Disease
lipodystrophy	EFO:1000727	lipodystrophy	Disease	HP:0009125	Lipodystrophy	Phenotype
lymphadenitis	HP:0002840	Lymphadenitis	Phenotype	MONDO:0002052	lymphadenitis	Disease
lymphedema	HP:0001004	Lymphedema	Phenotype	MONDO:0019297	lymphedema	Disease
maculardegeneration	EFO:0009606	macular degeneration	Disease	HP:0000608	Macular degeneration	Phenotype
megaloblasticanemia	HP:0001889	Megaloblastic anemia	Phenotype	MONDO:0001700	megaloblastic anemia	Disease
megalocornea	HP:0000485	Megalocornea	Phenotype	MONDO:0009576	megalocornea	Disease
meningitis	HP:0001287	Meningitis	Phenotype	MONDO:0021108	meningitis	Disease
metabolicacidosis	HP:0001942	Metabolic acidosis	Phenotype	MONDO:0000440	metabolic acidosis	Disease
methylmalonicacidemia	HP:0002912	Methylmalonic acidemia	Phenotype	MONDO:0002012	methylmalonic acidemia	Disease
microcephaly	HP:0000252	Microcephaly	Phenotype	MONDO:0001149	microcephaly	Disease
microcephalyfaciocardioskeletalsyndrome,hadziselimovictype	MONDO:0013053	microcephaly-facio-cardio-skeletal syndrome, Hadziselimovic type	Disease	Orphanet:217026	Microcephaly - facio-cardio-skeletal syndrome, Hadziselimovic type	Disease
microcyticanemia	HP:0001935	Microcytic anemia	Phenotype	MONDO:0001245	microcytic anemia	Disease
mitralvalveprolapse	HP:0001634	Mitral valve prolapse	Disease	MONDO:0004910	mitral valve prolapse	Disease
multiplecongenitalanomalieshypotoniaseizuressyndrome	MONDO:0100247	multiple congenital anomalies-hypotonia-seizures syndrome	Disease	Orphanet:280633	Multiple congenital anomalies - hypotonia - seizures syndrome	Disease
musculardystrophy	HP:0003560	Muscular dystrophy	Phenotype	MONDO:0020121	muscular dystrophy	Disease
myelofibrosis	HP:0011974	Myelofibrosis	Phenotype	MONDO:0044903	myelofibrosis	Disease
myoinositolmeasurement	EFO:0021652	Myoinositol measurement	Other	EFO:0800621	myo-inositol measurement	Other
myopathy	EFO:0004145	myopathy	Disease	HP:0003198	Myopathy	Phenotype
myopia	HP:0000545	Myopia	Phenotype	MONDO:0001384	myopia	Disease
n6succinyladenosinemeasurement	EFO:0021428	N6-succinyladenosine measurement	Other	EFO:0021657	N6-Succinyl adenosine measurement	Other
nectin1(human)	PR:Q15223	nectin-1 (human)	Other	gene:symbol:report?hgnc:id=9706	NECTIN1 (human)	Other
nectin2(human)	PR:Q92692	nectin-2 (human)	Other	gene:symbol:report?hgnc:id=9707	NECTIN2 (human)	Other
nectin3(human)	PR:Q9NQS3	nectin-3 (human)	Other	gene:symbol:report?hgnc:id=17664	NECTIN3 (human)	Other
nectin4(human)	PR:Q96NY8	nectin-4 (human)	Other	gene:symbol:report?hgnc:id=19688	NECTIN4 (human)	Other
nephrocalcinosis	HP:0000121	Nephrocalcinosis	Phenotype	MONDO:0001567	nephrocalcinosis	Disease
nephronophthisis	HP:0000090	Nephronophthisis	Phenotype	MONDO:0019005	nephronophthisis	Disease
nephropathydeafnesshyperparathyroidismsyndrome	MONDO:0009729	nephropathy - deafness - hyperparathyroidism syndrome	Disease	Orphanet:2668	Nephropathy-deafness-hyperparathyroidism syndrome	Disease
neurofibromatosistype1duetonf1mutationorintragenicdeletion	MONDO:0018208	neurofibromatosis type 1 due to NF1 mutation or intragenic deletion	Disease	Orphanet:363700	Neurofibromatosis type 1 due to NF1mutation or intragenic deletion	Disease
neuromedinu	EFO:0003266	neuromedin U	Other	PR:000011295	neuromedin-U	Other
nkg2dligand1measurement	EFO:0020609	NKG2-D ligand 1 measurement	Other	EFO:0802814	NKG2D ligand 1 measurement	Other
nkg2dligand2measurement	EFO:0020610	NKG2-D ligand 2 measurement	Other	EFO:0802815	NKG2D ligand 2 measurement	Other
nkg2dligand3measurement	EFO:0020611	NKG2-D ligand 3 measurement	Other	EFO:0802816	NKG2D ligand 3 measurement	Other
noleoyltaurinemeasurement	EFO:0800337	N-oleoyltaurine measurement	Other	EFO:0801191	N-oleoyl taurine measurement	Other
noncompactioncardiomyopathy	EFO:0004686	non-compaction cardiomyopathy	Disease	HP:0012817	Noncompaction cardiomyopathy	Phenotype
npalmitoyltaurinemeasurement	EFO:0800339	N-palmitoyltaurine measurement	Other	EFO:0801192	N-palmitoyl taurine measurement	Other
nucleosome	EFO:0022596	nucleosome	Other	EFO:0022721	Nucleosome	Other
nucseq	EFO:0008835	nuc-seq	Other	EFO:0009991	Nuc-Seq	Other
obesity	EFO:0001073	obesity	Disease	HP:0001513	Obesity	Phenotype
oligodontiacancerpredispositionsyndrome	MONDO:0012075	oligodontia-cancer predisposition syndrome	Disease	Orphanet:300576	Oligodontia - cancer predisposition syndrome	Disease
oncostatinm	EFO:0003200	oncostatin M	Other	PR:000012059	oncostatin-M	Other
opalin(human)	PR:Q96PE5	opalin (human)	Other	gene:symbol:report?hgnc:id=20707	OPALIN (human)	Other
opticatrophy	HP:0000648	Optic atrophy	Phenotype	MONDO:0003608	optic atrophy	Disease
orofacialcleft	HP:0000202	Orofacial cleft	Phenotype	MONDO:0000358	orofacial cleft	Disease
osteochondritisdissecans	HP:0010886	Osteochondritis dissecans	Phenotype	MONDO:0017178	osteochondritis dissecans	Disease
osteopetrosis	HP:0011002	Osteopetrosis	Phenotype	MONDO:0017198	osteopetrosis	Disease
osteoporosis	EFO:0003882	osteoporosis	Disease	HP:0000939	Osteoporosis	Phenotype
osteoporosisoculocutaneoushypopigmentationsyndrome	MONDO:0011020	osteoporosis-oculocutaneous hypopigmentation syndrome	Disease	Orphanet:2786	Osteoporosis - oculocutaneous hypopigmentation syndrome	Disease
pancreatitis	EFO:0000278	pancreatitis	Disease	HP:0001733	Pancreatitis	Phenotype
paraplegia	EFO:0009679	paraplegia	Disease	HP:0010550	Paraplegia	Phenotype
pericardialeffusion	HP:0001698	Pericardial effusion	Phenotype	MONDO:0001370	pericardial effusion	Disease
periostitis	HP:0040165	Periostitis	Phenotype	MONDO:0004934	periostitis	Disease
peripheralneuropathy	EFO:0003100	peripheral neuropathy	Disease	HP:0009830	Peripheral neuropathy	Phenotype
personalitydisorder	HP:0012075	Personality disorder	Phenotype	MONDO:0002028	personality disorder	Disease
phospholipidsinverysmallvldlmeasurement	EFO:0022150	phospholipids in very small VLDL measurement	Other	EFO:0022300	phospholipids in very small VLDL measurement	Other
pik3carelatedovergrowthspectrum	EFO:0009146	pik3ca related overgrowth spectrum	Disease	MONDO:1040002	PIK3CA-related overgrowth spectrum	Disease
plateletderivedgrowthfactorsubunitameasurement	EFO:0020649	platelet-derived growth factor subunitAmeasurement	Other	EFO:0801890	platelet-derived growth factor subunit A measurement	Other
pneumonia	EFO:0003106	pneumonia	Disease	HP:0002090	Pneumonia	Phenotype
pneumothorax	HP:0002107	Pneumothorax	Phenotype	MONDO:0002076	pneumothorax	Disease
polydactyly	HP:0010442	Polydactyly	Phenotype	MONDO:0021003	polydactyly	Disease
prematureejaculation	HP:0012876	Premature ejaculation	Phenotype	MONDO:0001780	premature ejaculation	Disease
progressivesupranuclearpalsycorticobasalsyndrome	MONDO:0016563	progressive supranuclear palsy-corticobasal syndrome	Disease	Orphanet:240103	Progressive supranuclear palsy - corticobasal syndrome	Disease
pulmonaryembolism	EFO:0003827	pulmonary embolism	Disease	HP:0002204	Pulmonary embolism	Phenotype
pureredcellaplasia	HP:0012410	Pure red cell aplasia	Phenotype	MONDO:0001705	pure red-cell aplasia	Disease
purpura	HP:0000979	Purpura	Phenotype	MONDO:0002610	purpura	Disease
qazimarkouizossyndrome	MONDO:0010816	Qazi Markouizos syndrome	Disease	Orphanet:3010	Qazi-Markouizos syndrome	Disease
rapidonsetchildhoodobesityhypothalamicdysfunctionhypoventilationautonomicdysregulationsyndrome	MONDO:0017408	rapid-onset childhood obesity-hypothalamic dysfunction-hypoventilation-autonomic dysregulation syndrome	Disease	Orphanet:293987	Rapid-onset childhood obesity - hypothalamic dysfunction - hypoventilation - autonomic dysregulation syndrome	Disease
rheumatoidarthritis	EFO:0000685	rheumatoid arthritis	Disease	HP:0001370	Rheumatoid arthritis	Phenotype
rickets	EFO:0005583	rickets	Disease	HP:0002748	Rickets	Phenotype
scleroderma	EFO:1001993	scleroderma	Disease	HP:0100324	Scleroderma	Phenotype
seborrheicdermatitis	EFO:1000764	seborrheic dermatitis	Disease	HP:0001051	Seborrheic dermatitis	Phenotype
septin1(human)	PR:Q8WYJ6	septin-1 (human)	Other	gene:symbol:report?hgnc:id=2879	SEPTIN1 (human)	Other
septin10(human)	PR:Q9P0V9	septin-10 (human)	Other	gene:symbol:report?hgnc:id=14349	SEPTIN10 (human)	Other
septin11(human)	PR:Q9NVA2	septin-11 (human)	Other	gene:symbol:report?hgnc:id=25589	SEPTIN11 (human)	Other
septin5(human)	PR:Q99719	septin-5 (human)	Other	gene:symbol:report?hgnc:id=9164	SEPTIN5 (human)	Other
septin6(human)	PR:Q14141	septin-6 (human)	Other	gene:symbol:report?hgnc:id=15848	SEPTIN6 (human)	Other
septoopticdysplasia	MONDO:0008428	septooptic dysplasia	Disease	Orphanet:3157	Septo-optic dysplasia	Disease
serpina11(human)	PR:Q86U17	serpin A11 (human)	Other	gene:symbol:report?hgnc:id=19193	SERPINA11 (human)	Other
serpina12(human)	PR:Q8IW75	serpin A12 (human)	Other	gene:symbol:report?hgnc:id=18359	SERPINA12 (human)	Other
serpina9(human)	PR:Q86WD7	serpin A9 (human)	Other	gene:symbol:report?hgnc:id=15995	SERPINA9 (human)	Other
serpinb13(human)	PR:Q9UIV8	serpin B13 (human)	Other	gene:symbol:report?hgnc:id=8944	SERPINB13 (human)	Other
serpinb3(human)	PR:P29508	serpin B3 (human)	Other	gene:symbol:report?hgnc:id=10569	SERPINB3 (human)	Other
serpinb4(human)	PR:P48594	serpin B4 (human)	Other	gene:symbol:report?hgnc:id=10570	SERPINB4 (human)	Other
serpinb5(human)	PR:P36952	serpin B5 (human)	Other	gene:symbol:report?hgnc:id=8949	SERPINB5 (human)	Other
serpinb8(human)	PR:P50452	serpin B8 (human)	Other	gene:symbol:report?hgnc:id=8952	SERPINB8 (human)	Other
serpinb9(human)	PR:P50453	serpin B9 (human)	Other	gene:symbol:report?hgnc:id=8955	SERPINB9 (human)	Other
serpinh1(human)	PR:P50454	serpin H1 (human)	Other	gene:symbol:report?hgnc:id=1546	SERPINH1 (human)	Other
serpini2(human)	PR:O75830	serpin I2 (human)	Other	gene:symbol:report?hgnc:id=8945	SERPINI2 (human)	Other
severecombinedimmunodeficiency	HP:0004430	Severe combined immunodeficiency	Phenotype	MONDO:0015974	severe combined immunodeficiency	Disease
severeintellectualdisabilityepilepsyanalanomaliesdistalphalangealhypoplasia	MONDO:0019786	severe intellectual disability-epilepsy-anal anomalies-distal phalangeal hypoplasia	Disease	Orphanet:94066	Severe intellectual disability - epilepsy - anal anomalies - distal phalangeal hypoplasia	Disease
sharpin(human)	PR:Q9H0F6	sharpin (human)	Other	gene:symbol:report?hgnc:id=25321	SHARPIN (human)	Other
shortstatureopticatrophypelgerhuëtanomalysyndrome	MONDO:0013889	short stature-optic atrophy-Pelger-Huët anomaly syndrome	Disease	Orphanet:391677	Short stature-optic atrophy-Pelger-Huët anomaly syndrome	Disease
sideroblasticanemia	HP:0001924	Sideroblastic anemia	Phenotype	MONDO:0015194	sideroblastic anemia	Disease
skeletaldysplasia	HP:0002652	Skeletal dysplasia	Phenotype	MONDO:0018230	skeletal dysplasia	Disease
sleepapnea	EFO:0003877	sleep apnea	Disease	HP:0010535	Sleep apnea	Phenotype
spinalatrophyophthalmoplegiapyramidalsyndrome	MONDO:0015250	spinal atrophy-ophthalmoplegia-pyramidal syndrome	Disease	Orphanet:1217	Spinal atrophy - ophthalmoplegia - pyramidal syndrome	Disease
spondyloepimetaphysealdysplasia	HP:0002651	Spondyloepimetaphyseal dysplasia	Phenotype	MONDO:0100510	spondyloepimetaphyseal dysplasia	Disease
spondyloepiphysealdysplasia	HP:0002655	Spondyloepiphyseal dysplasia	Phenotype	MONDO:0016761	spondyloepiphyseal dysplasia	Disease
stroke	EFO:0000712	stroke	Disease	HP:0001297	Stroke	Phenotype
supravalvularaorticstenosis	HP:0004381	Supravalvular aortic stenosis	Phenotype	MONDO:0008504	supravalvular aortic stenosis	Disease
syndactyly	HP:0001159	Syndactyly	Phenotype	MONDO:0021002	syndactyly	Disease
systemiclupuserythematosus	HP:0002725	Systemic lupus erythematosus	Phenotype	MONDO:0007915	systemic lupus erythematosus	Disease
testicularsertolicelltumor	EFO:1000572	Testicular Sertoli Cell Tumor	Disease	MONDO:0020808	testicular sertoli cell tumor	Disease
toothagenesis	EFO:0005410	tooth agenesis	Disease	HP:0009804	Tooth agenesis	Phenotype
trichilemmalcyst	HP:0025246	Trichilemmal cyst	Phenotype	MONDO:0012328	trichilemmal cyst	Disease
trigonocephaly	HP:0000243	Trigonocephaly	Phenotype	MONDO:0000156	trigonocephaly	Disease
trimethylaminuria	HP:0003614	Trimethylaminuria	Phenotype	MONDO:0011182	trimethylaminuria	Disease
triosephosphateisomerasedeficiency	MONDO:0014221	triosephosphate isomerase deficiency	Disease	Orphanet:868	Triose phosphate-isomerase deficiency	Disease
triphalangealthumbpolysyndactylysyndrome	MONDO:0017454	triphalangeal thumb-polysyndactyly syndrome	Disease	Orphanet:2950	Triphalangeal thumb - polysyndactyly syndrome	Disease
tripleasyndrome	MONDO:0009279	triple-A syndrome	Disease	Orphanet:869	Triple A syndrome	Disease
uvealcolobomacleftlipandpalateintellectualdisability	MONDO:0007355	uveal coloboma-cleft lip and palate-intellectual disability	Disease	Orphanet:1473	Uveal coloboma - cleft lip and palate - intellectual disability	Disease
uvealmelanoma	EFO:1000616	Uveal Melanoma	Disease	HP:0007716	Uveal melanoma	Phenotype
uveitis	EFO:1001231	uveitis	Disease	HP:0000554	Uveitis	Phenotype
vasculitis	EFO:0006803	vasculitis	Disease	HP:0002633	Vasculitis	Phenotype
ventricularfibrillation	EFO:0004287	ventricular fibrillation	Disease	HP:0001663	Ventricular fibrillation	Phenotype
visualagnosia	HP:0030222	Visual agnosia	Phenotype	MONDO:0000685	visual agnosia	Disease
whoopingcough	EFO:0000650	whooping cough	Disease	HP:0031247	Whooping cough	Phenotype
x12063measurement	EFO:0006957	X12063 measurement	Other	EFO:0021283	X-12063 measurement	Other
xlinkeddiffuseleiomyomatosisalportsyndrome	MONDO:0010641	X-linked diffuse leiomyomatosis-Alport syndrome	Disease	Orphanet:1018	X-linked diffuse leiomyomatosis - Alport syndrome	Disease
xlinkeddominantintellectualdisabilityepilepsysyndrome	MONDO:0019770	X-linked dominant intellectual disability-epilepsy syndrome	Disease	Orphanet:93951	X-linked dominant intellectual disability - epilepsy syndrome	Disease
xlinkedintellectualdisabilitycraniofacioskeletalsyndrome	MONDO:0010412	X-linked intellectual disability-craniofacioskeletal syndrome	Disease	Orphanet:163979	X-linked intellectual disability - craniofacioskeletal syndrome	Disease
